Inner Agency,Parent Agency,Word Count,Section Count
"Internal Revenue Service","Department of Treasury",13013629,28022
"Agricultural Marketing Service","Department of Agriculture",1483780,8446
"Rural Utilities Service","Department of Agriculture",1158634,2451
"Alcohol and Tobacco Tax and Trade Bureau","Department of Treasury",901136,3570
"Animal and Plant Health Inspection Service","Department of Agriculture",895907,1800
"Comptroller of the Currency","Department of Treasury",839343,2040
"Rural Business-Cooperative Service","Department of Agriculture",766081,1734
"Food and Nutrition Service","Department of Agriculture",754841,613
"Rural Housing Service","Department of Agriculture",683443,1600
"Farm Service Agency","Department of Agriculture",631608,1797
"Commodity Credit Corporation","Department of Agriculture",463518,1188
"Food Safety and Inspection Service","Department of Agriculture",356866,1085
"Federal Crop Insurance Corporation","Department of Agriculture",325539,228
"Forest Service","Department of Agriculture",321740,706
"Bureau of the Fiscal Service","Department of Treasury",259307,696
"National Institute of Food and Agriculture","Department of Agriculture",109802,353
"Natural Resources Conservation Service","Department of Agriculture",98231,363
"Financial Crimes Enforcement Network","Department of Treasury",95288,204
"Foreign Agricultural Service","Department of Agriculture",38642,105
"Agricultural Research Service","Department of Agriculture",18208,116
"Office of Advocacy and Outreach","Department of Agriculture",9455,50
"Bureau of Engraving and Printing","Department of Treasury",8483,59
"Office of Energy Policy and New Uses","Department of Agriculture",6706,37
"Office of Transportation","Department of Agriculture",6658,32
"Economic Research Service","Department of Agriculture",3112,11
"Office of Procurement and Property Management","Department of Agriculture",3077,22
"Office of Inspector General","Department of Agriculture",2988,10
"National Agricultural Statistics Service","Department of Agriculture",2985,11
"Office of Operations","Department of Agriculture",2912,19
"United States Mint","Department of Treasury",2427,34
"Office of Environmental Quality","Department of Agriculture",2327,7
"World Agricultural Outlook Board","Department of Agriculture",1227,10
"Office of Information Resources Management","Department of Agriculture",1149,8
"Office of Chief Financial Officer","Department of Agriculture",0,0
"Office of Secretary of Agriculture","Department of Agriculture",0,0
